Date,High,Low,Open,Close,Volume,Adj Close
2020-10-13,131.36000061035156,127.9000015258789,129.8000030517578,128.9600067138672,22389000,128.9600067138672
2020-10-14,129.5,125.29000091552734,129.13999938964844,126.58999633789062,11531500,126.58999633789062
2020-10-15,127.4000015258789,124.43000030517578,125.0,127.36000061035156,7744000,127.36000061035156
2020-10-16,128.1199951171875,126.33000183105469,127.80999755859375,126.80999755859375,6291700,126.80999755859375
2020-10-19,127.4000015258789,123.70999908447266,127.37000274658203,124.2300033569336,6576900,124.2300033569336
2020-10-20,125.7300033569336,123.63999938964844,124.58000183105469,124.94999694824219,6161200,124.94999694824219
2020-10-21,127.55999755859375,123.83999633789062,124.36000061035156,126.62999725341797,6591500,126.62999725341797
2020-10-22,128.10000610351562,125.97000122070312,126.66999816894531,127.55999755859375,5177700,127.55999755859375
2020-10-23,128.5,126.3499984741211,128.10000610351562,128.35000610351562,5439900,128.35000610351562
2020-10-26,127.11000061035156,122.94999694824219,127.11000061035156,124.05999755859375,8578900,124.05999755859375
2020-10-27,124.61000061035156,123.02999877929688,124.02999877929688,123.30999755859375,6813800,123.30999755859375
2020-10-28,121.52999877929688,118.31999969482422,121.01000213623047,118.47000122070312,11654700,118.47000122070312
2020-10-29,122.62999725341797,117.2300033569336,118.16000366210938,121.54000091552734,9583700,121.54000091552734
2020-10-30,121.75,119.08999633789062,120.63999938964844,121.25,8090200,121.25
2020-11-02,122.93000030517578,119.80999755859375,122.23999786376953,120.12999725341797,9186000,120.12999725341797
2020-11-03,125.06999969482422,121.37000274658203,121.61000061035156,124.0199966430664,8144900,124.0199966430664
2020-11-04,126.86000061035156,123.41000366210938,123.58000183105469,125.06999969482422,7483000,125.06999969482422
2020-11-05,128.6199951171875,125.80000305175781,126.77999877929688,126.95999908447266,7654800,126.95999908447266
2020-11-06,128.0399932861328,124.61000061035156,126.26000213623047,127.45999908447266,6259700,127.45999908447266
2020-11-09,147.67999267578125,138.07000732421875,140.25999450683594,142.58999633789062,35634700,142.58999633789062
2020-11-10,142.3699951171875,137.6699981689453,139.97000122070312,142.11000061035156,18115400,142.11000061035156
2020-11-11,142.0,136.6199951171875,141.47000122070312,137.82000732421875,9600900,137.82000732421875
2020-11-12,138.49000549316406,134.10000610351562,136.33999633789062,135.52000427246094,13768200,135.52000427246094
2020-11-13,141.19000244140625,136.52000427246094,140.89999389648438,138.36000061035156,21062300,138.36000061035156
2020-11-16,144.74000549316406,141.57000732421875,141.57000732421875,144.6699981689453,16382500,144.6699981689453
2020-11-17,144.8300018310547,142.55999755859375,144.39999389648438,144.5,9354900,144.5
2020-11-18,145.47999572753906,143.35000610351562,144.5,143.89999389648438,9456200,143.89999389648438
2020-11-19,143.3000030517578,141.6999969482422,142.57000732421875,141.72000122070312,8892500,141.72000122070312
